kpoints,lattice_parameter,max_revision,path,revision_number,variable_list,job_state,elec_energy
666,3.66,1,data/01-666/91-3p66/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.66}]",,-13678.25012810517
666,3.664,1,data/01-666/92-3p664/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.664}]",,-13678.223554963157
666,3.668,1,data/01-666/93-3p668/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.668}]",,-13678.196596780042
666,3.672,1,data/01-666/94-3p672/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.672}]",,-13678.169034096012
666,3.676,1,data/01-666/95-3p676/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.676}]",,-13678.141212359595
666,3.68,1,data/01-666/96-3p68/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.68}]",,-13678.112921022703
666,3.684,1,data/01-666/97-3p684/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.684}]",,-13678.084463424244
666,3.688,1,data/01-666/98-3p688/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.688}]",,-13678.055879632991
666,3.692,1,data/01-666/99-3p692/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.692}]",,-13678.026584944302
666,3.696,1,data/01-666/100-3p696/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.696}]",,-13677.99730229665
666,3.7,1,data/01-666/101-3p7/,1,"[{'property': u'kpoints', 'value': u'666'}, {'property': u'lattice_parameter', 'value': 3.7}]",,-13677.967694609004
888,3.3,1,data/02-888/01-3p3/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.3}]",,-13678.036437982744
888,3.304,1,data/02-888/02-3p304/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.304}]",,-13678.082047393395
888,3.308,1,data/02-888/03-3p308/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.308}]",,-13678.126347120085
888,3.312,1,data/02-888/04-3p312/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.312}]",,-13678.16919886095
888,3.316,1,data/02-888/05-3p316/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.316}]",,-13678.210905750815
888,3.32,1,data/02-888/06-3p32/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.32}]",,-13678.251289691168
888,3.324,1,data/02-888/07-3p324/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.324}]",,-13678.29048299737
888,3.328,1,data/02-888/08-3p328/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.328}]",,-13678.328139676656
888,3.332,1,data/02-888/09-3p332/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.332}]",,-13678.364540754608
888,3.336,1,data/02-888/10-3p336/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.336}]",,-13678.399489220797
888,3.34,1,data/02-888/11-3p34/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.34}]",,-13678.4333490275
888,3.344,1,data/02-888/12-3p344/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.344}]",,-13678.46602881249
888,3.348,1,data/02-888/13-3p348/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.348}]",,-13678.497488915173
888,3.352,1,data/02-888/14-3p352/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.352}]",,-13678.527747975348
888,3.356,1,data/02-888/15-3p356/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.356}]",,-13678.556722794208
888,3.36,1,data/02-888/16-3p36/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.36}]",,-13678.584807664718
888,3.364,1,data/02-888/17-3p364/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.364}]",,-13678.61134366319
888,3.368,1,data/02-888/18-3p368/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.368}]",,-13678.637410537385
888,3.372,1,data/02-888/19-3p372/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.372}]",,-13678.66189860702
888,3.376,1,data/02-888/20-3p376/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.376}]",,-13678.685134952942
888,3.38,1,data/02-888/21-3p38/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.38}]",,-13678.707125221514
888,3.384,1,data/02-888/22-3p384/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.384}]",,-13678.728282277476
888,3.388,1,data/02-888/23-3p388/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.388}]",,-13678.748716122851
888,3.392,1,data/02-888/24-3p392/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.392}]",,-13678.76777933076
888,3.396,1,data/02-888/25-3p396/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.396}]",,-13678.785874425621
888,3.4,1,data/02-888/26-3p4/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.4}]",,-13678.802999298545
888,3.404,1,data/02-888/27-3p404/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.404}]",,-13678.818809793545
888,3.408,1,data/02-888/28-3p408/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.408}]",,-13678.833567684142
888,3.412,1,data/02-888/29-3p412/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.412}]",,-13678.847598826671
888,3.416,1,data/02-888/30-3p416/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.416}]",,-13678.860512057476
888,3.42,1,data/02-888/31-3p42/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.42}]",,-13678.872662008927
888,3.424,1,data/02-888/32-3p424/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.424}]",,-13678.883512004488
888,3.428,1,data/02-888/33-3p428/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.428}]",,-13678.911847015657
888,3.432,1,data/02-888/34-3p432/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.432}]",,-13678.920987387924
888,3.436,1,data/02-888/35-3p436/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.436}]",,-13678.929079237496
888,3.44,1,data/02-888/36-3p44/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.44}]",,-13678.936277805326
888,3.444,1,data/02-888/37-3p444/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.444}]",,-13678.942471796847
888,3.448,1,data/02-888/38-3p448/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.448}]",,-13678.947853800639
888,3.452,1,data/02-888/39-3p452/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.452}]",,-13678.952345379885
888,3.456,1,data/02-888/40-3p456/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.456}]",,-13678.956453958885
888,3.46,1,data/02-888/41-3p46/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.46}]",,-13678.959088633213
888,3.464,1,data/02-888/42-3p464/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.464}]",,-13678.96096669498
888,3.468,1,data/02-888/43-3p468/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.468}]",,-13678.961842765522
888,3.472,1,data/02-888/44-3p472/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.472}]",,-13678.962039503836
888,3.476,1,data/02-888/45-3p476/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.476}]",,-13678.961250849869
888,3.48,1,data/02-888/46-3p48/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.48}]",,-13678.959892117386
888,3.484,1,data/02-888/47-3p484/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.484}]",,-13678.957365200142
888,3.488,1,data/02-888/48-3p488/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.488}]",,-13678.954068064642
888,3.492,1,data/02-888/49-3p492/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.492}]",,-13678.950016425466
888,3.496,1,data/02-888/50-3p496/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.496}]",,-13678.945429538346
888,3.5,1,data/02-888/51-3p5/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.5}]",,-13678.942048727838
888,3.504,1,data/02-888/52-3p504/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.504}]",,-13678.936575225764
888,3.508,1,data/02-888/53-3p508/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.508}]",,-13678.929924287058
888,3.512,1,data/02-888/54-3p512/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.512}]",,-13678.921968698496
888,3.516,1,data/02-888/55-3p516/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.516}]",,-13678.914551215075
888,3.52,1,data/02-888/56-3p52/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.52}]",,-13678.906470726255
888,3.524,1,data/02-888/57-3p524/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.524}]",,-13678.896940754981
888,3.528,1,data/02-888/58-3p528/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.528}]",,-13678.88723506619
888,3.532,1,data/02-888/59-3p532/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.532}]",,-13678.87658466614
888,3.536,1,data/02-888/60-3p536/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.536}]",,-13678.865187925825
888,3.54,1,data/02-888/61-3p54/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.54}]",,-13678.852555992715
888,3.544,1,data/02-888/62-3p544/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.544}]",,-13678.840025830183
888,3.548,1,data/02-888/63-3p548/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.548}]",,-13678.827671113057
888,3.552,1,data/02-888/64-3p552/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.552}]",,-13678.814107190008
888,3.556,1,data/02-888/65-3p556/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.556}]",,-13678.799686244387
888,3.56,1,data/02-888/66-3p56/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.56}]",,-13678.785098424947
888,3.564,1,data/02-888/67-3p564/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.564}]",,-13678.770354412156
888,3.568,1,data/02-888/68-3p568/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.568}]",,-13678.754566162464
888,3.572,1,data/02-888/69-3p572/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.572}]",,-13678.73803912367
888,3.576,1,data/02-888/70-3p576/,1,"[{'property': u'kpoints', 'value': u'888'}, {'property': u'lattice_parameter', 'value': 3.576}]",,-13678.72093084969
